name,destinationType,weather,budget,activities,flightDuration
London,City Break,Cool and breezy,Luxury,restaurant; museum; park,Short Haul (3 hours or less)
Manchester,City Break,Cool and breezy,Mid-Range,restaurant;shopping_mall,Short Haul (3 hours or less)
Edinburgh,City Break,Cool and breezy,Mid-Range,restaurant; museum; park,Short Haul (3 hours or less)
Cardiff,City Break,Cool and breezy,Mid-Range,park; museum;shopping_mall,Short Haul (3 hours or less)
Dublin,Historical sites,Cool and breezy,Mid-Range,park; restaurant,Short Haul (3 hours or less)
Paris,City Break,Cool and breezy,Luxury,shopping_mall; restaurant; tourist_attractions,Short Haul (3 hours or less)
Monaco,City Break,Warm and sunny,Luxury,shopping_mall; tourist_attractions,Short Haul (3 hours or less)
Barcelona,City Break,Warm and sunny,Mid-Range,restaurant; tourist_attractions,Short Haul (3 hours or less)
Madrid,City Break,Warm and sunny,Mid-Range,restaurant; tourist_attractions,Short Haul (3 hours or less)
Athens,Historical sites,Warm and sunny,Mid-Range,tourist_attractions; museum;,Medium Haul (3–6 hours)
Rome,Historical sites,Warm and sunny,Luxury,museum; tourist_attraction,Short Haul (3 hours or less)
Venice,Historical sites,Warm and sunny,Mid-Range,museum; restaurant; tourist_attraction,Short Haul (3 hours or less)
Sicily,Beaches,Warm and sunny,Mid-Range,park; tourist_attraction,Short Haul (3 hours or less)
Innsbruck,Historical sites,Cool and snowy,Luxury,tourist_attraction,Short Haul (3 hours or less)
Bodrum,Beaches,Warm and sunny,Budget-Friendly,restaurant; tourist_attraction; beaches,Medium Haul (3–6 hours)
Antalya,Beaches,Warm and sunny,Budget-Friendly, tourist_attractions,Medium Haul (3–6 hours)
Istanbul,Historical sites,Cool and breezy,Mid-Range,museum; restaurant; tourist_attraction; beaches,Medium Haul (3–6 hours)
Oslo,Quiet Retreats,Cool and snowy,Mid-Range,park; museum,Short Haul (3 hours or less)
Stockholm,City Break,Cool and breezy,Mid-Range,park; museum,Short Haul (3 hours or less)
Crete,Beaches,Warm and sunny,Mid-Range,tourist_attractions; park; restaurant; beaches,Medium Haul (3–6 hours)
Zante,Beaches,Warm and sunny,Mid-Range,tourist_attractions; restaurant; beaches,Medium Haul (3–6 hours)
Rhodes,Historical sites,Warm and sunny,Mid-Range,beaches; restaurant; tourist_attraction,Medium Haul (3–6 hours)
Paphos,Beaches,Warm and sunny,Mid-Range,tourist_attractions; beaches,Medium Haul (3–6 hours)
Berlin,City Break,Cool and breezy,Mid-Range,museum,Short Haul (3 hours or less)
Amman,Historical sites,Warm and sunny,Budget-Friendly,museum; restaurant; tourist_attraction,Medium Haul (3–6 hours)
Beirut,City Break,Warm and sunny,Mid-Range,museum; restaurant;,Medium Haul (3–6 hours)
Jeddah,City Break,Warm and sunny,Mid-Range,shopping_mall; restaurant; tourist_attractions; beaches,Long Haul (6-10 Hours)
Riyadh,City Break,Warm and sunny,Luxury,shopping_mall; restaurant; tourist_attractions,Long Haul (6-10 Hours)
Doha,City Break,Warm and sunny,Luxury,shopping_mall,Long Haul (6-10 Hours)
